City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
Carnarvon,-24.87,113.63,71.6,94,90,17.22,AU,2020-10-24 23:59:32,overcast clouds
Hithadhoo,-0.6,73.08,83.39,74,58,10.65,MV,2020-10-25 00:01:00,broken clouds
Feicheng,35.26,117.97,52.54,50,91,3.15,CN,2020-10-25 00:04:45,overcast clouds
Sao Filipe,14.9,-24.5,82.06,69,97,11.34,CV,2020-10-24 23:59:36,overcast clouds
Mahibadhoo,3.78,72.97,82.65,77,87,11.54,MV,2020-10-25 00:02:01,overcast clouds
Albany,42.6,-73.97,46.99,68,20,5.01,US,2020-10-24 23:59:53,few clouds
Rikitea,-23.12,-134.97,74.84,80,97,21.81,PF,2020-10-25 00:03:11,overcast clouds
Wanning,18.8,110.4,77.36,88,100,10.45,CN,2020-10-25 00:04:46,overcast clouds
Ushuaia,-54.8,-68.3,46.4,61,75,5.82,AR,2020-10-25 00:04:07,broken clouds
Saint-Philippe,-21.36,55.77,68.0,56,0,6.93,RE,2020-10-25 00:03:10,clear sky
Vostok,46.49,135.88,29.75,99,100,4.81,RU,2020-10-25 00:04:46,overcast clouds
Qaanaaq,77.48,-69.36,16.84,90,100,11.9,GL,2020-10-25 00:04:47,overcast clouds
Vao,-22.67,167.48,73.18,80,65,14.58,NC,2020-10-25 00:04:47,broken clouds
Puerto Ayora,-0.74,-90.35,69.01,93,89,7.0,EC,2020-10-25 00:04:47,overcast clouds
Ponta Do Sol,32.67,-17.1,64.4,72,20,6.93,PT,2020-10-25 00:04:47,few clouds
Tongliao,43.61,122.27,42.22,60,49,4.83,CN,2020-10-25 00:04:48,scattered clouds
Dali,25.7,100.18,56.55,88,97,1.16,CN,2020-10-25 00:04:48,light rain
Port Elizabeth,-33.92,25.57,60.8,93,0,3.36,ZA,2020-10-24 23:55:36,clear sky
Rawson,-43.3,-65.1,59.05,66,46,11.9,AR,2020-10-24 23:59:05,scattered clouds
Nikolskoye,59.7,30.79,39.0,86,75,4.47,RU,2020-10-24 23:59:40,broken clouds
Ribeira Grande,38.52,-28.7,66.69,80,87,11.41,PT,2020-10-24 23:55:08,overcast clouds
Fortuna,40.6,-124.16,55.99,76,1,11.41,US,2020-10-24 23:59:47,clear sky
Kiama,-34.68,150.87,57.0,76,100,5.99,AU,2020-10-25 00:01:57,overcast clouds
Skelleftea,64.75,20.95,24.8,92,8,4.7,SE,2020-10-25 00:00:28,clear sky
Mataura,-46.19,168.86,73.6,46,100,14.74,NZ,2020-10-24 23:59:22,overcast clouds
Cape Town,-33.93,18.42,60.01,93,75,4.7,ZA,2020-10-25 00:04:14,broken clouds
San Patricio,28.02,-97.52,73.4,49,40,4.7,US,2020-10-24 23:59:37,scattered clouds
Punta Arenas,-53.15,-70.92,42.8,93,90,14.99,CL,2020-10-24 23:54:52,overcast clouds
Bluff,-46.6,168.33,65.62,58,99,17.56,NZ,2020-10-24 23:59:23,light rain
Makakilo City,21.35,-158.09,84.2,70,1,9.17,US,2020-10-25 00:00:52,clear sky
Lebu,-37.62,-73.65,49.8,82,28,4.9,CL,2020-10-24 23:59:16,scattered clouds
Kapaa,22.08,-159.32,84.99,74,40,11.41,US,2020-10-24 23:54:56,scattered clouds
Provideniya,64.38,-173.3,35.04,86,80,12.39,RU,2020-10-24 23:57:49,broken clouds
Mar Del Plata,-38.0,-57.56,61.0,100,90,5.82,AR,2020-10-25 00:00:33,overcast clouds
Manono,-7.3,27.42,72.39,86,95,1.66,CD,2020-10-25 00:04:52,overcast clouds
Kruisfontein,-34.0,24.73,60.01,90,0,1.01,ZA,2020-10-25 00:04:52,clear sky
Bambanglipuro,-7.95,110.28,80.04,81,92,7.9,ID,2020-10-25 00:04:52,overcast clouds
Vila Franca Do Campo,37.72,-25.43,66.2,93,75,19.46,PT,2020-10-24 23:57:07,light intensity drizzle rain
Barrow,71.29,-156.79,33.8,86,90,12.75,US,2020-10-24 23:59:25,overcast clouds
Saint-Tite,46.73,-72.57,42.8,60,90,6.93,CA,2020-10-25 00:04:53,overcast clouds
Tasiilaq,65.61,-37.64,32.0,93,93,3.36,GL,2020-10-24 23:59:35,overcast clouds
Merauke,-8.47,140.33,83.71,72,87,5.68,ID,2020-10-25 00:00:16,light rain
Tuktoyaktuk,69.45,-133.04,17.6,92,75,8.05,CA,2020-10-24 23:57:00,broken clouds
Biloxi,30.4,-88.89,78.8,69,75,3.36,US,2020-10-25 00:04:31,broken clouds
Cabo San Lucas,22.89,-109.91,87.01,58,5,11.41,MX,2020-10-24 23:56:57,clear sky
Busselton,-33.65,115.33,63.0,60,28,7.0,AU,2020-10-24 23:58:29,scattered clouds
Yellowknife,62.46,-114.35,24.8,62,75,10.29,CA,2020-10-24 23:59:59,broken clouds
Los Llanos De Aridane,28.66,-17.92,71.6,56,75,8.05,ES,2020-10-25 00:01:04,broken clouds
Hilo,19.73,-155.09,87.8,62,90,18.34,US,2020-10-24 23:59:19,overcast clouds
