City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Rikitea,PF,75.34,light rain,-23.12,-134.97,Pension Maro'i
5,Kavaratti,IN,82.42,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
6,Miandrivazo,MG,78.82,clear sky,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
13,Hirara,JP,76.62,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
15,Castro,BR,72.09,overcast clouds,-24.79,-50.01,CHACARA BAILLY
18,Guadalajara,MX,88.0,scattered clouds,20.67,-103.33,Hotel Aranzazú
22,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
23,Rawson,AR,71.13,overcast clouds,-43.3,-65.1,Hotel Punta León
26,Mangrol,IN,82.18,clear sky,21.12,70.12,Hotel The Royal Honours
27,Hithadhoo,MV,83.16,few clouds,-0.6,73.08,Scoop Guest House
30,Inhambane,MZ,75.2,few clouds,-23.86,35.38,Oceano
34,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
38,Puerto Ayora,EC,73.4,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
42,Atuona,PF,78.91,light rain,-9.8,-139.03,Villa Enata
47,Kapaa,US,84.2,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
57,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
61,Bengkulu,ID,74.62,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
63,Victoria,HK,75.0,broken clouds,22.29,114.16,Mini Hotel Central
64,Kahului,US,87.8,few clouds,20.89,-156.47,Maui Seaside Hotel
65,Huixtla,MX,86.0,scattered clouds,15.15,-92.47,Hotel Jardin Real
66,Norsup,VU,77.0,light intensity shower rain,-16.07,167.38,Nabelchel Bungalows
68,Hilo,US,78.01,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
75,Baloda,IN,70.18,clear sky,22.15,82.48,Ganesh Anand Catering services Baloda
76,Gigmoto,PH,79.34,light rain,13.78,124.39,Cj's Travellers Inn
77,Ajdabiya,LY,71.4,clear sky,30.76,20.23,الحاج سليمان الشترة
82,Posse,BR,85.21,overcast clouds,-14.09,-46.37,Pousada das Palmeiras
83,Progreso,MX,84.2,light rain,21.28,-89.67,Playa Linda Hotel
85,Port Moresby,PG,75.85,light rain,-9.44,147.18,Lamana Hotel
92,Merauke,ID,77.38,overcast clouds,-8.47,140.33,
93,Champasak,LA,70.59,light rain,14.75,106.0,Kiat Ngong Wetland BUNGALOW
94,Saint-Philippe,RE,71.6,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
95,Carutapera,BR,83.77,moderate rain,-1.2,-46.02,Lidera
100,Chiredzi,ZW,78.19,clear sky,-21.05,31.67,The Nesbitt Arms
103,Butaritari,KI,81.43,overcast clouds,3.07,172.79,Isles Sunset Lodge
105,Bitung,ID,73.4,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
107,Axim,GH,78.46,moderate rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
108,Mangai,CD,70.16,overcast clouds,-4.05,19.53,
109,Sinnamary,GF,83.93,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
110,Tibiri,NE,85.1,broken clouds,13.56,7.05,
111,Lorengau,PG,79.92,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
114,Sola,VU,79.34,overcast clouds,-13.88,167.55,Ulkel Guest House
115,Isangel,VU,75.88,few clouds,-19.55,169.27,Volcano Sea View Tree House
116,Kulhudhuffushi,MV,82.35,scattered clouds,6.62,73.07,Haajy Guest House 1
117,Daru,PG,77.63,broken clouds,-9.08,143.21,New century hotel
118,Dingle,PH,75.7,light rain,11.0,122.67,Camp Pasica
120,Vavoua,CI,77.59,overcast clouds,7.38,-6.48,Hotel La Sougoun
122,Sigli,ID,78.24,overcast clouds,5.38,95.96,Hotel Riza
126,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
128,Ishigaki,JP,77.0,overcast clouds,24.34,124.16,Hotel Peace Land Ishigakijima
129,Barahona,DO,87.8,scattered clouds,18.21,-71.1,Hotel Caribe
130,Taoudenni,ML,89.96,clear sky,22.68,-3.98,
135,Marshall,US,75.0,broken clouds,34.38,-86.33,Lake Guntersville Bed and Breakfast
138,Port-Gentil,GA,78.8,thunderstorm,-0.72,8.78,Fengshui Residence
139,Banjar,ID,78.8,few clouds,-8.19,114.97,The Hamsa Resort
152,Ituporanga,BR,79.0,overcast clouds,-27.41,-49.6,Hotel Jacaré
153,Cap-Haitien,HT,87.8,scattered clouds,19.76,-72.2,Habitation Jouissant
160,Marica,BR,77.0,scattered clouds,-22.92,-42.82,Marica Hills
165,Katobu,ID,75.29,overcast clouds,-4.94,122.53,La Ode Husein
168,Sao Filipe,CV,81.37,overcast clouds,14.9,-24.5,Tortuga B&B
174,Tha Chang,TH,75.34,overcast clouds,9.26,99.19,สุริยาค้าไม้
177,Pangai,TO,78.8,few clouds,-19.8,-174.35,Ha'apai Beach Resort
181,Puerto Lopez,CO,89.76,few clouds,4.08,-72.96,Resguardo Indigena Maguare
183,Vaini,TO,73.4,scattered clouds,-21.2,-175.2,Keleti Beach Resort
186,Aba,NG,77.0,thunderstorm with light rain,5.11,7.37,Mickeys Guest House
189,Caucaia,BR,82.4,few clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
190,Catamarca,AR,84.99,clear sky,-28.47,-65.79,Amerian Catamarca Park Hotel
193,Lardos,GR,71.6,few clouds,36.09,28.02,Lindos Princess Beach Hotel
195,Kabinda,CD,70.09,heavy intensity rain,-6.13,24.48,Village Mianda Mutole
200,Samarai,PG,81.25,moderate rain,-10.62,150.67,Nuli Sapi
201,Kismayo,SO,79.86,broken clouds,-0.36,42.55,Agan-Hotel
205,Gat,IL,73.99,clear sky,31.61,34.76,OlusHome
211,Hervey Bay,AU,75.0,light rain,-25.3,152.85,Shelly Bay Resort
220,Cusuna,HN,82.02,overcast clouds,15.85,-85.23,
223,Puerto Carreno,CO,89.85,light rain,6.19,-67.49,Casa Hotel Victoria
224,Saint-Joseph,RE,71.6,overcast clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
227,Fortuna,US,72.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
228,Los Llanos De Aridane,ES,71.6,scattered clouds,28.66,-17.92,Valle Aridane
229,Pontianak,ID,75.56,moderate rain,-0.03,109.33,Aston Pontianak Hotel & Convention Center
233,Siverek,TR,71.6,clear sky,37.76,39.32,Mercan Hotel
236,Ambilobe,MG,73.45,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
238,Sampit,ID,74.12,moderate rain,-2.53,112.95,Aquarius Boutique Hotel Sampit
242,La Orilla,MX,84.74,overcast clouds,17.98,-102.23,Baymont by Wyndham Lazaro Cardenas
243,Dicabisagan,PH,79.38,moderate rain,17.08,122.42,Nancy Montanes Bernardo
244,Sao Joao Da Barra,BR,75.2,light rain,-21.64,-41.05,Pousada Porto De Canoas
248,Hambantota,LK,78.78,light rain,6.12,81.12,Bungalow 63
250,Cayenne,GF,82.4,moderate rain,4.93,-52.33,Hôtel Le Dronmi
251,Kattivakkam,IN,80.6,mist,13.22,80.32,St. Joseph Thirumana mandapam
252,Riacho De Santana,BR,86.0,clear sky,-13.61,-42.94,Nosso Hotel
256,Sur,OM,71.26,clear sky,22.57,59.53,Sur Plaza Hotel
259,Pisco,PE,71.6,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
264,Touros,BR,82.4,few clouds,-5.2,-35.46,INN NEW HORIZON
266,Sabang,ID,82.2,light rain,5.89,95.32,Hotel Citra
273,Jalu,LY,70.9,clear sky,29.03,21.55,Jalu Hotel
275,Sembakung,ID,73.18,overcast clouds,3.82,117.25,
276,Ternate,ID,80.76,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
278,Arraial Do Cabo,BR,77.0,scattered clouds,-22.97,-42.03,Pousada Porto Praia
279,Kirakira,SB,79.88,broken clouds,-10.45,161.92,SanBiz Lodge
282,Teno,CL,75.99,clear sky,-34.87,-71.18,Villa Cordillera
286,Sao Felix Do Xingu,BR,89.58,overcast clouds,-6.64,-51.99,Apart Hotel Rio Xingu
287,Eureka,US,73.0,clear sky,40.8,-124.16,Eureka Inn Trademark By Wyndham
288,Probolinggo,ID,78.26,broken clouds,-7.75,113.22,OYO 1639 Penginapan Anggrek Syariah 1
290,Itoman,JP,71.6,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
294,Prado,BR,76.78,clear sky,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
295,Hwange,ZW,76.15,clear sky,-18.37,26.5,Hwange Colliery Guest House
297,San-Pedro,CI,77.2,light rain,4.75,-6.64,Hotel Maria
298,Zwedru,LR,73.8,light rain,6.07,-8.13,Elijah Worjloh
300,Harper,LR,77.74,overcast clouds,4.38,-7.72,Screensaver
302,Bilma,NE,71.24,clear sky,18.69,12.92,Expeditions Ténére voyages
303,Laguna,US,72.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
305,Thinadhoo,MV,82.78,scattered clouds,0.53,72.93,
311,Kavieng,PG,82.85,overcast clouds,-2.57,150.8,Nusa Island Retreat
313,Faanui,PF,79.97,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
318,Marsh Harbour,BS,83.03,clear sky,26.54,-77.06,Abaco Beach Resort
319,Tadine,NC,74.03,clear sky,-21.55,167.88,
322,Itarema,BR,81.28,clear sky,-2.92,-39.92,Windvillage
323,Bontang,ID,75.74,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
324,Nova Venecia,BR,77.9,light rain,-18.71,-40.4,"Vitoria,es"
325,Rosarito,MX,71.6,few clouds,32.33,-117.03,Hotel Festival Plaza Rosarito
328,Charters Towers,AU,76.95,overcast clouds,-20.1,146.27,Cattleman's Rest Motor Inn
335,Noumea,NC,78.01,clear sky,-22.28,166.46,Hôtel Le Lagon
339,Luganville,VU,77.0,light intensity shower rain,-15.53,167.17,The Espiritu Hotel
342,Waounde,SN,89.6,clear sky,15.26,-12.87,
343,Butterworth,MY,77.0,few clouds,5.4,100.36,Cititel Penang
344,Tautira,PF,84.2,broken clouds,-17.73,-149.15,Pension Oaoa
345,Saint-Pierre,RE,71.6,overcast clouds,-21.34,55.48,Lindsey Hôtel
350,Atambua,ID,75.42,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
351,Wanning,CN,72.68,overcast clouds,18.8,110.4,Paradise Hotel
357,Guiglo,CI,75.51,moderate rain,6.55,-7.5,domicile de boubé TTK
358,Barra Do Garcas,BR,82.4,moderate rain,-15.89,-52.26,Hotel Pousada Tropical
360,Puerto Baquerizo Moreno,EC,75.2,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
363,Adilabad,IN,74.57,scattered clouds,19.67,78.53,Dwaraka Hotel.
364,Pontes E Lacerda,BR,88.7,light rain,-15.23,-59.34,Hotel Bressan
365,Bathsheba,BB,84.2,shower rain,13.22,-59.52,Atlantis Hotel
367,Kasongo-Lunda,CD,70.81,broken clouds,-6.47,16.82,
368,Half Moon Bay,US,71.6,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
369,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
371,Ensley,US,86.0,clear sky,30.52,-87.27,Holiday Inn Express & Suites Pensacola W I-10
372,Maragogi,BR,78.3,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
378,Andalan,PH,79.72,light rain,5.96,121.39,
381,Pacifica,US,70.0,clear sky,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
386,Cockburn Town,TC,86.0,broken clouds,21.46,-71.14,Osprey Beach Hotel
387,Sakakah,SA,77.0,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
391,Maua,BR,73.4,few clouds,-23.67,-46.46,Hotel Capriccio Mauá
392,General Roca,AR,75.2,clear sky,-39.03,-67.58,Hotel El Recreo
400,Gharghoda,IN,70.54,scattered clouds,22.17,83.35,Jageshwer House
401,Moengo,SR,86.54,broken clouds,5.62,-54.4,Masanga
402,Calama,CL,77.0,clear sky,-22.47,-68.93,Park Hotel Calama
405,Abu Samrah,SY,70.61,clear sky,35.3,37.18,
406,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
409,Trelew,AR,73.8,overcast clouds,-43.25,-65.31,Hotel Touring Club
410,Russell,US,82.4,broken clouds,32.35,-85.2,Macs
