City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
Khandyga,62.67,135.6,13.59,86,98,2.1,RU,2020-10-26 20:27:49,overcast clouds
Derzhavinsk,51.1,66.32,35.35,90,100,21.39,KZ,2020-10-26 20:27:49,overcast clouds
Bangassou,4.74,22.82,69.71,90,100,2.3,CF,2020-10-26 20:27:49,overcast clouds
Methoni,36.82,21.7,64.99,82,0,4.7,GR,2020-10-26 20:27:50,clear sky
Rikitea,-23.12,-134.97,75.34,85,100,19.24,PF,2020-10-26 20:27:50,light rain
Kavaratti,10.57,72.64,82.42,72,81,7.0,IN,2020-10-26 20:27:50,broken clouds
Miandrivazo,-19.52,45.47,78.82,62,0,5.66,MG,2020-10-26 20:27:50,clear sky
Cherskiy,68.75,161.3,4.68,93,42,5.84,RU,2020-10-26 20:27:50,scattered clouds
Albany,42.6,-73.97,48.99,83,100,1.01,US,2020-10-26 20:27:51,light rain
Port Hedland,-20.32,118.57,68.0,94,65,8.81,AU,2020-10-26 20:27:51,broken clouds
Yellowknife,62.46,-114.35,25.0,62,75,5.82,CA,2020-10-26 20:27:51,broken clouds
Provideniya,64.38,-173.3,30.2,74,90,0.74,RU,2020-10-26 20:27:51,overcast clouds
Kaitangata,-46.28,169.85,52.0,81,99,4.0,NZ,2020-10-26 20:27:52,overcast clouds
Hirara,24.8,125.28,76.62,70,94,15.95,JP,2020-10-26 20:27:52,overcast clouds
Kruisfontein,-34.0,24.73,64.0,92,100,7.0,ZA,2020-10-26 20:27:52,overcast clouds
Castro,-24.79,-50.01,72.09,70,100,7.16,BR,2020-10-26 20:23:31,overcast clouds
Chicama,-7.84,-79.15,64.4,82,75,13.87,PE,2020-10-26 20:27:52,broken clouds
Lebu,-37.62,-73.65,54.01,71,100,8.61,CL,2020-10-26 20:27:52,overcast clouds
Guadalajara,20.67,-103.33,88.0,23,40,0.83,MX,2020-10-26 20:25:50,scattered clouds
Strezhevoy,60.73,77.59,26.6,86,90,15.66,RU,2020-10-26 20:27:53,overcast clouds
Punta Arenas,-53.15,-70.92,53.6,40,20,35.57,CL,2020-10-26 20:24:22,few clouds
Akureyri,65.68,-18.09,37.4,69,90,5.82,IS,2020-10-26 20:27:53,overcast clouds
Souillac,-20.52,57.52,73.4,73,40,10.29,MU,2020-10-26 20:27:53,scattered clouds
Rawson,-43.3,-65.1,71.13,29,100,17.83,AR,2020-10-26 20:27:54,overcast clouds
Podyuga,61.09,40.86,31.23,95,98,8.23,RU,2020-10-26 20:27:54,overcast clouds
Chuy,-33.7,-53.46,58.53,92,100,16.96,UY,2020-10-26 20:27:54,light rain
Mangrol,21.12,70.12,82.18,63,0,1.72,IN,2020-10-26 20:27:54,clear sky
Hithadhoo,-0.6,73.08,83.16,66,17,6.53,MV,2020-10-26 20:27:54,few clouds
Inuvik,68.35,-133.72,10.4,78,90,10.29,CA,2020-10-26 20:27:55,overcast clouds
Upernavik,72.79,-56.15,17.51,80,98,4.47,GL,2020-10-26 20:27:55,overcast clouds
Inhambane,-23.86,35.38,75.2,88,20,3.36,MZ,2020-10-26 20:27:55,few clouds
Uvinza,-5.1,30.39,69.4,85,62,1.07,TZ,2020-10-26 20:27:55,broken clouds
Luderitz,-26.65,15.16,62.1,71,0,16.71,NA,2020-10-26 20:27:55,clear sky
Lavrentiya,65.58,-171.0,30.34,92,20,5.57,RU,2020-10-26 20:27:56,few clouds
