City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.19,168.86,48.0,90,92,1.99,NZ,2020-10-26 19:54:56
1,Ribeira Grande,38.52,-28.7,69.8,88,40,18.34,PT,2020-10-26 19:54:56
2,Upata,8.01,-62.4,81.97,77,88,4.65,VE,2020-10-26 19:54:57
3,Hermanus,-34.42,19.23,64.0,84,92,5.01,ZA,2020-10-26 19:54:57
4,Kapaa,22.08,-159.32,82.99,78,40,3.36,US,2020-10-26 19:54:57
5,Iqaluit,63.75,-68.51,15.8,72,75,2.24,CA,2020-10-26 19:54:58
6,Tuktoyaktuk,69.45,-133.04,8.6,84,75,16.11,CA,2020-10-26 19:54:58
7,Torbay,47.67,-52.73,41.0,44,40,12.75,CA,2020-10-26 19:54:58
8,Busselton,-33.65,115.33,57.0,75,25,7.83,AU,2020-10-26 19:54:58
9,Mahibadhoo,3.78,72.97,82.42,74,43,7.81,MV,2020-10-26 19:54:59
10,Jamestown,42.1,-79.24,48.0,93,90,5.82,US,2020-10-26 19:54:59
11,Castro,-24.79,-50.01,72.09,70,100,7.16,BR,2020-10-26 19:54:48
12,Ixtapa,20.7,-105.2,89.6,62,5,8.05,MX,2020-10-26 19:55:00
13,Punta Arenas,-53.15,-70.92,55.4,37,20,34.45,CL,2020-10-26 19:55:00
14,Port Alfred,-33.59,26.89,65.79,82,100,28.01,ZA,2020-10-26 19:55:01
15,Camacha,33.08,-16.33,66.2,68,40,5.82,PT,2020-10-26 19:55:01
16,Bredasdorp,-34.53,20.04,64.4,88,100,12.75,ZA,2020-10-26 19:55:01
17,Beringovskiy,63.05,179.32,31.05,91,0,2.73,RU,2020-10-26 19:55:01
18,Olinda,-8.01,-34.86,82.4,69,75,8.05,BR,2020-10-26 19:52:20
19,Nadym,65.53,72.52,7.3,94,0,9.82,RU,2020-10-26 19:55:02
20,Souillac,-20.52,57.52,73.4,73,40,8.05,MU,2020-10-26 19:55:02
21,Dikson,73.51,80.55,11.79,95,100,15.35,RU,2020-10-26 19:55:03
22,Kangaatsiaq,68.31,-53.46,24.39,90,100,9.19,GL,2020-10-26 19:55:03
23,Coihaique,-45.58,-72.07,55.4,50,40,11.41,CL,2020-10-26 19:55:03
24,Mitsamiouli,-11.38,43.28,78.35,74,11,8.05,KM,2020-10-26 19:55:04
25,Kununurra,-15.77,128.73,73.4,100,100,4.7,AU,2020-10-26 19:55:04
26,Fairbanks,64.84,-147.72,30.2,92,90,5.41,US,2020-10-26 19:55:05
27,Tuatapere,-46.13,167.68,48.0,90,99,1.99,NZ,2020-10-26 19:55:05
28,Dicabisagan,17.08,122.42,79.38,84,100,4.16,PH,2020-10-26 19:55:05
29,Opuwo,-18.06,13.84,68.61,42,37,7.45,NA,2020-10-26 19:55:06
30,Saint-Philippe,-21.36,55.77,71.6,83,90,5.82,RE,2020-10-26 19:55:06
31,Fortuna Foothills,32.66,-114.41,62.6,10,1,27.51,US,2020-10-26 19:55:06
32,Faanui,-16.48,-151.75,79.97,78,97,15.68,PF,2020-10-26 19:55:07
33,Hofn,64.25,-15.21,37.4,59,0,16.11,IS,2020-10-26 19:55:07
34,Avarua,-21.21,-159.78,75.2,69,100,19.46,CK,2020-10-26 19:55:07
35,Tasiilaq,65.61,-37.64,33.8,50,100,20.8,GL,2020-10-26 19:55:08
36,Hithadhoo,-0.6,73.08,83.16,66,17,6.53,MV,2020-10-26 19:55:09
37,Xining,36.62,101.77,33.48,91,100,0.65,CN,2020-10-26 19:55:10
38,Zhuhai,22.28,113.57,75.99,83,20,13.87,CN,2020-10-26 19:55:11
39,Camp Verde,34.56,-111.85,57.0,22,73,21.0,US,2020-10-26 19:55:11
40,Dehloran,32.69,47.27,72.59,19,0,6.71,IR,2020-10-26 19:55:11
41,Albany,42.6,-73.97,48.99,83,100,1.01,US,2020-10-26 19:55:12
42,Ushuaia,-54.8,-68.3,50.0,61,75,23.04,AR,2020-10-26 19:52:26
43,Kemijarvi,66.71,27.43,40.71,96,100,9.91,FI,2020-10-26 19:55:12
44,Solnechnyy,50.72,136.63,32.61,82,0,2.93,RU,2020-10-26 19:55:13
45,Puerto Gaitan,4.31,-72.08,89.11,58,90,10.6,CO,2020-10-26 19:55:13
46,Ust-Karsk,52.7,118.81,30.4,96,100,5.48,RU,2020-10-26 19:55:13
47,Umea,63.83,20.26,44.01,94,90,8.05,SE,2020-10-26 19:55:14
48,Rikitea,-23.12,-134.97,75.34,85,100,19.24,PF,2020-10-26 19:55:14
49,Cape Town,-33.93,18.42,68.0,82,0,8.05,ZA,2020-10-26 19:55:14
50,Tabuk,17.42,121.44,74.25,89,99,1.01,PH,2020-10-26 19:55:15
51,Sitka,57.05,-135.33,51.8,87,90,9.17,US,2020-10-26 19:55:15
52,Sao Filipe,14.9,-24.5,81.37,73,100,8.84,CV,2020-10-26 19:55:15
53,Katsuura,35.13,140.3,61.0,63,20,13.87,JP,2020-10-26 19:55:15
54,Bambous Virieux,-20.34,57.76,73.4,73,40,8.05,MU,2020-10-26 19:55:16
55,Clyde River,70.47,-68.59,15.8,72,90,12.75,CA,2020-10-26 19:55:16
56,Franca,-20.54,-47.4,77.47,64,62,5.28,BR,2020-10-26 19:55:16
57,Ponta Pora,-22.54,-55.73,69.8,83,90,11.41,BR,2020-10-26 19:55:17
58,Bilibino,68.05,166.44,7.2,93,100,2.68,RU,2020-10-26 19:55:17
59,Metro,-5.11,105.31,74.91,88,100,6.64,ID,2020-10-26 19:55:17
60,Lucapa,-8.42,20.74,69.08,94,100,2.66,AO,2020-10-26 19:55:18
61,Saskylakh,71.92,114.08,3.72,93,97,5.82,RU,2020-10-26 19:55:18
62,Paita,-5.09,-81.11,77.0,65,0,10.29,PE,2020-10-26 19:55:19
63,Yellowknife,62.46,-114.35,24.8,62,75,10.29,CA,2020-10-26 19:50:54
64,Kunashak,55.7,61.55,28.4,100,90,29.08,RU,2020-10-26 19:55:19
65,Srednekolymsk,67.45,153.68,6.4,91,0,7.07,RU,2020-10-26 19:55:20
66,Acarau,-2.89,-40.12,81.77,72,0,16.2,BR,2020-10-26 19:55:20
67,Aguimes,27.91,-15.45,71.6,68,20,19.46,ES,2020-10-26 19:55:20
68,Kashan,33.98,51.44,58.96,34,0,2.44,IR,2020-10-26 19:55:21
69,Atuona,-9.8,-139.03,78.91,76,86,19.69,PF,2020-10-26 19:55:21
70,Ponta Do Sol,32.67,-17.1,66.2,72,75,9.17,PT,2020-10-26 19:55:21
71,Fuzhou,26.06,119.31,68.0,72,0,6.71,CN,2020-10-26 19:55:22
72,Pacific Grove,36.62,-121.92,71.01,10,1,4.7,US,2020-10-26 19:55:22
73,Byron Bay,-28.65,153.62,66.2,82,90,11.41,AU,2020-10-26 19:51:55
74,Geraldton,-28.77,114.6,55.4,93,90,4.7,AU,2020-10-26 19:55:22
75,Carnarvon,-24.87,113.63,68.0,94,0,19.46,AU,2020-10-26 19:55:23
76,Pasighat,28.07,95.33,70.27,74,10,3.06,IN,2020-10-26 19:55:23
77,Puerto Ayora,-0.74,-90.35,77.0,69,40,20.8,EC,2020-10-26 19:55:24
